Site,scode,rep,year,seasn,occasion,spid,species,indiv
6,s6,6d,2012,S,S12,125,Tetramorium un12,117
6,s6,6d,2012,S,S12,102,Tetramorium frenchi,1
6,s6,6d,2012,S,S12,103,Tetramorium fridgidum,3
7,s7,7a,2012,S,S12,45,Lepisiota sp. 1,1
7,s7,7a,2012,S,S12,46,Lepisiota sp. 10,1
7,s7,7a,2012,S,S12,48,Lepisiota sp. 12,1
7,s7,7a,2012,S,S12,78,Paratrechina sp. 1,4
7,s7,7a,2012,S,S12,93,Solenopsis sp. 1,1
7,s7,7a,2012,S,S12,101,Tetramorium bothae,16
7,s7,7a,2012,S,S12,103,Tetramorium fridgidum,1
7,s7,7b,2012,S,S12,78,Paratrechina sp. 1,4
7,s7,7b,2012,S,S12,82,Pheidole sp. 1,2
7,s7,7b,2012,S,S12,94,Solenopsis sp. 2,3
7,s7,7b,2012,S,S12,101,Tetramorium bothae,6
7,s7,7b,2012,S,S12,102,Tetramorium frenchi,3
7,s7,7c,2012,S,S12,48,Lepisiota sp. 12,1
7,s7,7c,2012,S,S12,55,Lepisiota un05,1
7,s7,7c,2012,S,S12,82,Pheidole sp. 1,6
7,s7,7c,2012,S,S12,101,Tetramorium bothae,3
7,s7,7c,2012,S,S12,102,Tetramorium frenchi,4
7,s7,7d,2012,S,S12,37,Crematogaster natalensis,9
7,s7,7d,2012,S,S12,45,Lepisiota sp. 1,4
7,s7,7d,2012,S,S12,46,Lepisiota sp. 10,8
7,s7,7d,2012,S,S12,48,Lepisiota sp. 12,2
7,s7,7d,2012,S,S12,54,Lepisiota un03,1
7,s7,7d,2012,S,S12,55,Lepisiota un05,1
7,s7,7d,2012,S,S12,70,Monomorium taedium,2
7,s7,7d,2012,S,S12,78,Paratrechina sp. 1,6
7,s7,7d,2012,S,S12,82,Pheidole sp. 1,7
7,s7,7d,2012,S,S12,85,Pheidole un01,2
7,s7,7d,2012,S,S12,99,Technomyrmex sp. 2,4
7,s7,7d,2012,S,S12,101,Tetramorium bothae,7
7,s7,7d,2012,S,S12,102,Tetramorium frenchi,6
7,s7,7d,2012,S,S12,103,Tetramorium fridgidum,1
7,s7,7d,2012,S,S12,109,Tetramorium sericeiventre,1
8,s8,8a,2012,S,S12,27,Camponotus sp. 3,1
8,s8,8a,2012,S,S12,46,Lepisiota sp. 10,1
8,s8,8a,2012,S,S12,54,Lepisiota un03,2
8,s8,8a,2012,S,S12,71,Monomorium un01,3
8,s8,8a,2012,S,S12,70,Monomorium taedium,16
8,s8,8a,2012,S,S12,78,Paratrechina sp. 1,2
8,s8,8a,2012,S,S12,82,Pheidole sp. 1,7
8,s8,8a,2012,S,S12,85,Pheidole un01,9
8,s8,8a,2012,S,S12,129,Plagiolepis sp. 2,5
8,s8,8a,2012,S,S12,91,Pristomyrmex fossulatus,2
8,s8,8a,2012,S,S12,94,Solenopsis sp. 2,2
8,s8,8a,2012,S,S12,112,Tetramorium sp. 14,1
8,s8,8a,2012,S,S12,130,Tetramorium sp. 44,1
8,s8,8a,2012,S,S12,101,Tetramorium bothae,11
8,s8,8a,2012,S,S12,103,Tetramorium fridgidum,1
8,s8,8b,2012,S,S12,53,Lepisiota un01,1
8,s8,8b,2012,S,S12,58,Meranoplus peringueyi,1
8,s8,8b,2012,S,S12,82,Pheidole sp. 1,2
8,s8,8b,2012,S,S12,84,Pheidole sp. 7,1
8,s8,8b,2012,S,S12,93,Solenopsis sp. 1,12
8,s8,8b,2012,S,S12,94,Solenopsis sp. 2,2
8,s8,8b,2012,S,S12,112,Tetramorium sp. 14,1
8,s8,8b,2012,S,S12,101,Tetramorium bothae,4
8,s8,8b,2012,S,S12,102,Tetramorium frenchi,1
8,s8,8c,2012,S,S12,37,Crematogaster natalensis,1
8,s8,8c,2012,S,S12,54,Lepisiota un03,10
8,s8,8c,2012,S,S12,70,Monomorium taedium,1
8,s8,8c,2012,S,S12,91,Pristomyrmex fossulatus,2
8,s8,8c,2012,S,S12,130,Tetramorium sp. 44,6
8,s8,8c,2012,S,S12,101,Tetramorium bothae,1
8,s8,8c,2012,S,S12,102,Tetramorium frenchi,1
8,s8,8d,2012,S,S12,38,Crematogaster sp. 6,20
8,s8,8d,2012,S,S12,46,Lepisiota sp. 10,6
8,s8,8d,2012,S,S12,54,Lepisiota un03,17
8,s8,8d,2012,S,S12,56,Leptogenys intermedia,1
8,s8,8d,2012,S,S12,76,Pachycondyla pumicosa,2
8,s8,8d,2012,S,S12,78,Paratrechina sp. 1,8
8,s8,8d,2012,S,S12,82,Pheidole sp. 1,13
8,s8,8d,2012,S,S12,101,Tetramorium bothae,15
8,s8,8d,2012,S,S12,102,Tetramorium frenchi,1
8,s8,8d,2012,S,S12,103,Tetramorium fridgidum,1
2,s2,2a,2012,S,S12,134,Camponotus havilandi,1
2,s2,2a,2012,S,S12,140,Camponotus irredux,8
2,s2,2b,2012,S,S12,140,Camponotus irredux,2
2,s2,2d,2012,S,S12,140,Camponotus irredux,3
3,s3,3a,2012,S,S12,140,Camponotus irredux,8
3,s3,3a,2012,S,S12,135,Streblognathus peetersi,7
3,s3,3b,2012,S,S12,135,Streblognathus peetersi,5
3,s3,3c,2012,S,S12,140,Camponotus irredux,17
3,s3,3c,2012,S,S12,136,Pachycondyla wroughtonii,1
3,s3,3d,2012,S,S12,134,Camponotus havilandi,1
3,s3,3d,2012,S,S12,140,Camponotus irredux,3
3,s3,3d,2012,S,S12,135,Streblognathus peetersi,8
4,s4,4a,2012,S,S12,140,Camponotus irredux,13
4,s4,4a,2012,S,S12,135,Streblognathus peetersi,4
4,s4,4b,2012,S,S12,134,Camponotus havilandi,1
4,s4,4b,2012,S,S12,140,Camponotus irredux,75
4,s4,4b,2012,S,S12,135,Streblognathus peetersi,1
4,s4,4c,2012,S,S12,135,Streblognathus peetersi,3
4,s4,4d,2012,S,S12,140,Camponotus irredux,1
4,s4,4d,2012,S,S12,135,Streblognathus peetersi,6
5,s5,5a,2012,S,S12,140,Camponotus irredux,1
5,s5,5b,2012,S,S12,140,Camponotus irredux,1
5,s5,5c,2012,S,S12,137,Pachycondyla caffraria,1
5,s5,5c,2012,S,S12,136,Pachycondyla wroughtonii,3
5,s5,5d,2012,S,S12,140,Camponotus irredux,1
6,s6,6a,2012,S,S12,138,Anoplolepis custodiens,3
6,s6,6b,2012,S,S12,140,Camponotus irredux,4
6,s6,6c,2012,S,S12,140,Camponotus irredux,3
6,s6,6d,2012,S,S12,134,Camponotus havilandi,2
6,s6,6d,2012,S,S12,140,Camponotus irredux,3
6,s6,6d,2012,S,S12,136,Pachycondyla wroughtonii,2
7,s7,7a,2012,S,S12,138,Anoplolepis custodiens,1
7,s7,7a,2012,S,S12,140,Camponotus irredux,1
7,s7,7c,2012,S,S12,138,Anoplolepis custodiens,84
7,s7,7d,2012,S,S12,138,Anoplolepis custodiens,48
8,s8,8a,2012,S,S12,138,Anoplolepis custodiens,11
8,s8,8a,2012,S,S12,134,Camponotus havilandi,2
8,s8,8a,2012,S,S12,140,Camponotus irredux,3
8,s8,8a,2012,S,S12,137,Pachycondyla caffraria,1
8,s8,8b,2012,S,S12,138,Anoplolepis custodiens,1
8,s8,8b,2012,S,S12,134,Camponotus havilandi,1
8,s8,8b,2012,S,S12,140,Camponotus irredux,3
8,s8,8c,2012,S,S12,138,Anoplolepis custodiens,1
